Borough,Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
Bronx,9,Poverty,2017-18,2100723,296630,1421274,82.9,11262,4901,45.5
Bronx,9,SWD,2017-18,667867,138250,470892,77.8,3980,2234,55.1
Bronx,9,White,2017-18,120574,6439,69601,85.8,479,97,33.9
Bronx,10,All Students,2016-17,2314696,340057,1957664,84.0,15070,6263,44.2
Bronx,10,Asian,2016-17,161085,5514,120957,90.6,785,80,27.5
Bronx,10,Black,2016-17,606578,84412,479274,84.7,3736,1522,41.9
Bronx,10,ELL,2016-17,479757,58057,294108,82.1,2369,1018,50.0
Bronx,10,Female,2016-17,1073512,151361,913502,84.9,6991,2897,44.3
Bronx,10,Hispanic,2016-17,1398546,223356,1146756,83.2,9017,4219,47.2
Bronx,10,Male,2016-17,1241184,186805,1043312,84.0,8059,3346,43.8
Bronx,10,Not ELL,2016-17,1834939,234354,1322451,83.6,10206,4155,47.3
Bronx,10,Not Poverty,2016-17,493318,54588,420685,85.8,3092,937,37.6
Bronx,10,Not SWD,2016-17,1756787,207676,1367994,84.5,10352,3850,42.9
Bronx,10,Other,2016-17,39967,446,6464,90.2,43,4,15.6
Bronx,10,Poverty,2016-17,1821378,234580,1254407,84.0,9784,4187,45.3
Bronx,10,SWD,2016-17,557909,109387,411812,78.8,3434,1954,57.6
Bronx,10,White,2016-17,108520,4529,64262,89.5,434,67,27.5
Bronx,10,All Students,2017-18,2252429,337867,1894343,83.9,14605,6296,45.7
Bronx,10,Asian,2017-18,160588,4813,111299,90.3,717,77,33.4
Bronx,10,Black,2017-18,588161,82026,456270,84.4,3561,1511,42.8
Bronx,10,ELL,2017-18,497116,63837,319462,83.0,2580,1247,49.9
Bronx,10,Female,2017-18,1048101,153023,891182,84.1,6820,2906,46.0
Bronx,10,Hispanic,2017-18,1349165,219607,1091851,82.8,8602,4147,49.3
Bronx,10,Male,2017-18,1204328,184522,1003862,83.7,7783,3387,45.6
Bronx,10,Not ELL,2017-18,1755313,237225,1290633,83.1,9952,4170,47.4
Bronx,10,Not Poverty,2017-18,366034,31307,319492,87.6,2268,583,36.5
Bronx,10,Not SWD,2017-18,1697737,198236,1314612,85.4,9848,3752,42.2
Bronx,10,Other,2017-18,36020,743,7547,90.3,50,6,13.7
Bronx,10,Poverty,2017-18,1886395,260929,1325496,83.1,10395,4684,47.1
Bronx,10,SWD,2017-18,554692,110569,414093,79.0,3450,2015,57.7
Bronx,10,White,2017-18,118495,4911,69227,86.7,458,66,33.6
Bronx,11,All Students,2016-17,1928785,257248,1670451,85.5,12436,4949,43.1
Bronx,11,Asian,2016-17,151843,4698,109398,91.4,708,65,24.2
Bronx,11,Black,2016-17,508949,50926,378333,87.4,2767,952,37.0
Bronx,11,ELL,2016-17,347132,38231,199245,82.7,1573,771,51.7
Bronx,11,Female,2016-17,926141,124294,799451,85.3,5956,2435,44.8
Bronx,11,Hispanic,2016-17,1145448,171771,955719,84.6,7292,3324,46.2
Bronx,11,Male,2016-17,1002644,130106,857213,85.7,6375,2443,41.4
Bronx,11,Not ELL,2016-17,1581653,122433,833609,85.5,6118,2013,42.0
Bronx,11,Not Poverty,2016-17,422737,45052,357507,85.9,2605,807,38.3
Bronx,11,Not SWD,2016-17,1554792,162166,1093588,86.5,8148,3123,41.1
Bronx,11,Other,2016-17,28888,549,4821,88.0,35,8,25.4
Bronx,11,Poverty,2016-17,1506048,153637,1000790,85.9,7403,2933,43.1
Bronx,11,SWD,2016-17,373993,63319,287048,81.9,2243,1180,52.7
Bronx,11,White,2016-17,93657,3798,55677,90.7,374,54,25.3
Bronx,11,All Students,2017-18,1932798,237023,1650669,86.3,12110,4649,41.9
Bronx,11,Asian,2017-18,158375,5726,117968,90.7,762,84,25.8
Bronx,11,Black,2017-18,491680,48851,379812,88.0,2743,946,35.5
Bronx,11,ELL,2017-18,374687,41096,231445,83.3,1796,829,51.3
Bronx,11,Female,2017-18,931654,118589,812777,86.1,5994,2331,43.6
Bronx,11,Hispanic,2017-18,1150267,161577,960686,85.0,7231,3228,46.0
Bronx,11,Male,2017-18,1001144,122419,859098,86.3,6277,2361,40.9
Bronx,11,Not ELL,2017-18,1558111,119551,869120,86.3,6255,1940,41.7
Bronx,11,Not Poverty,2017-18,349614,27651,303037,89.2,2111,502,31.0
Bronx,11,Not SWD,2017-18,1537306,145499,1034009,86.8,7621,2874,40.9
Bronx,11,Other,2017-18,34611,183,5894,96.0,38,3,13.7
Bronx,11,Poverty,2017-18,1583184,149387,1000767,86.5,7383,2935,42.6
Bronx,11,SWD,2017-18,395492,66645,311515,81.8,2396,1223,51.8
Bronx,11,White,2017-18,97865,3806,58558,90.6,388,60,30.7
Bronx,12,All Students,2016-17,1936236,307574,1611066,82.9,12200,5957,52.0
Bronx,12,Asian,2016-17,140232,7471,93544,89.2,627,136,36.0
Bronx,12,Black,2016-17,544090,62632,392121,85.0,2891,1187,46.1
Bronx,12,ELL,2016-17,246563,52839,165609,76.2,1392,893,62.8
Bronx,12,Female,2016-17,910929,150261,757086,82.4,5760,2899,54.5
Bronx,12,Hispanic,2016-17,1128260,196738,902083,82.1,7016,3759,54.6
Bronx,12,Male,2016-17,1025307,155207,848517,83.4,6392,2958,49.4
Bronx,12,Not ELL,2016-17,1689673,147688,866124,83.6,6424,2742,51.2
Bronx,12,Not Poverty,2016-17,499843,74799,413961,79.8,3081,1322,50.5
Bronx,12,Not SWD,2016-17,1467837,186814,997793,83.4,7565,3731,51.8
Bronx,12,Other,2016-17,29228,331,3275,90.7,23,6,26.2
Bronx,12,Poverty,2016-17,1436393,196226,1000053,83.0,7610,3733,52.6
Bronx,12,SWD,2016-17,468399,78819,317280,79.7,2530,1425,56.9
Bronx,12,White,2016-17,94426,6018,58969,87.9,401,112,43.6
Bronx,12,All Students,2017-18,1953927,311660,1641806,83.2,12339,6141,52.8
Bronx,12,Asian,2017-18,152520,8100,102499,88.7,678,131,31.6
Bronx,12,Black,2017-18,541513,66728,413298,85.5,3030,1318,45.9
Bronx,12,ELL,2017-18,258579,55162,175541,75.7,1448,921,64.5
Bronx,12,Female,2017-18,925647,150346,774907,82.6,5870,3015,55.2
Bronx,12,Hispanic,2017-18,1130873,199408,903535,82.0,7003,3974,56.9
Bronx,12,Male,2017-18,1028280,161160,866048,83.6,6463,3088,50.0
Bronx,12,Not ELL,2017-18,1695348,155011,867701,83.3,6448,3028,52.7
Bronx,12,Not Poverty,2017-18,354038,36520,295701,86.4,2075,704,41.9
Bronx,12,Not SWD,2017-18,1479850,188068,1010519,83.5,7597,3761,52.4
Bronx,12,Other,2017-18,28575,358,3904,90.8,26,6,28.6
Bronx,12,Poverty,2017-18,1599889,196349,998814,83.2,7540,3884,53.8
Bronx,12,SWD,2017-18,474077,79823,327271,80.3,2578,1495,58.2
Bronx,12,White,2017-18,100446,7755,64806,86.4,444,152,43.0
Bronx,10,All Students,2018-19,2302004,351502,1950502,84.7,14584,6214,42.6
Bronx,10,Not SWD,2018-19,1741074,236316,1504758,86.4,11040,4219,38.2
Bronx,10,SWD,2018-19,560930,115186,445744,79.5,3544,1995,56.3
Bronx,10,Asian,2018-19,168044,10618,157426,93.7,1033,180,17.4
Bronx,10,Black,2018-19,596498,92736,503762,84.5,3786,1588,41.9
Bronx,10,Hispanic,2018-19,1390637,232071,1158566,83.3,8840,4174,47.2
Bronx,10,Other,2018-19,34462,4342,30120,87.4,226,75,33.2
Bronx,10,White,2018-19,112363,11735,100628,89.6,699,197,28.2
Bronx,10,Female,2018-19,1063154,157255,905899,85.2,6730,2822,41.9
Bronx,10,Male,2018-19,1238850,194247,1044603,84.3,7854,3392,43.2
Bronx,10,Not Poverty,2018-19,399827,39511,360316,90.1,2517,665,26.4
Bronx,10,Poverty,2018-19,1902177,311991,1590186,83.6,12067,5549,46.0
Bronx,10,ELL,2018-19,494963,79080,415883,84.0,3217,1481,46.0
Bronx,10,Not ELL,2018-19,1807041,272422,1534619,84.9,11367,4733,41.6
Bronx,10,All Students,2019-20,1461590,202506,1259084,86.1,13764,5441,39.5
Bronx,10,Not SWD,2019-20,1101065,133862,967203,87.8,10398,3693,35.5
Bronx,10,SWD,2019-20,360525,68644,291881,81.0,3366,1748,51.9
Bronx,10,Asian,2019-20,105455,6313,99142,94.0,968,151,15.6
Bronx,10,Black,2019-20,375703,53467,322236,85.8,3553,1388,39.1
Bronx,10,Hispanic,2019-20,881984,133732,748252,84.8,8313,3666,44.1
Bronx,10,Other,2019-20,29817,3570,26247,88.0,285,92,32.3
Bronx,10,White,2019-20,68631,5424,63207,92.1,645,144,22.3
Bronx,10,Female,2019-20,676773,89745,587028,86.7,6387,2455,38.4
Bronx,10,Male,2019-20,784817,112761,672056,85.6,7377,2986,40.5
Bronx,10,Not Poverty,2019-20,234648,18958,215690,91.9,2207,512,23.2
Bronx,10,Poverty,2019-20,1226942,183548,1043394,85.0,11557,4929,42.6
Bronx,10,ELL,2019-20,306480,45670,260810,85.1,2940,1253,42.6
Bronx,10,Not ELL,2019-20,1155110,156836,998274,86.4,10824,4188,38.7
Bronx,10,All Students,2020-21,2339500,389773,1949727,83.3,13858,6028,43.5
Bronx,10,Not SWD,2020-21,1745053,261881,1483172,85.0,10349,4117,39.8
Bronx,10,SWD,2020-21,594447,127892,466555,78.5,3509,1911,54.5
Bronx,10,Asian,2020-21,166402,9607,156795,94.2,968,131,13.5
Bronx,10,Black,2020-21,588161,105681,482480,82.0,3491,1576,45.1
Bronx,10,Hispanic,2020-21,1428032,258711,1169321,81.9,8483,4079,48.1
Bronx,10,Other,2020-21,45730,5473,40257,88.0,267,83,31.1
Bronx,10,White,2020-21,111175,10301,100874,90.7,649,159,24.5
Bronx,10,Female,2020-21,1081235,158483,922752,85.3,6396,2508,39.2
Bronx,10,Male,2020-21,1258265,231290,1026975,81.6,7462,3520,47.2
Bronx,10,Not Poverty,2020-21,360405,37401,323004,89.6,2146,613,28.6
Bronx,10,Poverty,2020-21,1979095,352372,1626723,82.2,11712,5415,46.2
Bronx,10,ELL,2020-21,439168,84572,354596,80.7,2653,1338,50.4
Bronx,10,Not ELL,2020-21,1900332,305201,1595131,83.9,11205,4690,41.9
Bronx,10,All Students,2021-22,2067861,357949,1709912,82.7,12826,6500,50.7
Bronx,10,Not SWD,2021-22,1516240,227021,1289219,85.0,9414,4270,45.4
Bronx,10,SWD,2021-22,551621,130928,420693,76.3,3412,2230,65.4
Bronx,10,Asian,2021-22,149242,10727,138515,92.8,902,185,20.5
Bronx,10,Black,2021-22,536595,97558,439037,81.8,3347,1728,51.6
Bronx,10,Hispanic,2021-22,1255239,234170,1021069,81.3,7802,4292,55.0
Bronx,10,Other,2021-22,36763,4853,31910,86.8,226,101,44.7
Bronx,10,White,2021-22,90022,10641,79381,88.2,549,194,35.3
Bronx,10,Female,2021-22,968983,163570,805413,83.1,6007,3055,50.9
Bronx,10,Male,2021-22,1098878,194379,904499,82.3,6819,3445,50.5
Bronx,10,Not Poverty,2021-22,304197,32574,271623,89.3,1897,599,31.6
Bronx,10,Poverty,2021-22,1763664,325375,1438289,81.6,10929,5901,54.0
Bronx,10,ELL,2021-22,386567,67005,319562,82.7,2428,1241,51.1
Bronx,10,Not ELL,2021-22,1681294,290944,1390350,82.7,10398,5259,50.6
Bronx,10,All Students,2022-23,2083591,311853,1771738,85.0,13343,5885,44.1
Bronx,10,Not SWD,2022-23,1542034,204514,1337520,86.7,9882,3921,39.7
Bronx,10,SWD,2022-23,541557,107339,434218,80.2,3461,1964,56.7
Bronx,10,Asian,2022-23,147444,10432,137012,92.9,917,179,19.5
Bronx,10,Black,2022-23,532456,81377,451079,84.7,3441,1464,42.5
Bronx,10,Hispanic,2022-23,1274676,206085,1068591,83.8,8175,3986,48.8
Bronx,10,Other,2022-23,34952,4543,30409,87.0,224,86,38.4
Bronx,10,White,2022-23,94063,9416,84647,90.0,586,170,29.0
Bronx,10,Female,2022-23,977663,s,s,s,s,s,s
Bronx,10,Male,2022-23,1105431,166020,939411,85.0,7061,3106,44.0
Bronx,10,Neither male nor female,2022-23,497,s,s,s,s,s,s
Bronx,10,Not Poverty,2022-23,298923,27099,271824,90.9,1912,454,23.7
Bronx,10,Poverty,2022-23,1784668,284754,1499914,84.0,11431,5431,47.5
Bronx,10,ELL,2022-23,405705,61327,344378,84.9,2676,1237,46.2
Bronx,10,Not ELL,2022-23,1677886,250526,1427360,85.1,10667,4648,43.6
Bronx,10,All Students,2023-24,2046524,292473,1754051,85.7,13067,5444,41.7
Bronx,10,Not SWD,2023-24,1507691,188533,1319158,87.5,9652,3560,36.9
Bronx,10,SWD,2023-24,538833,103940,434893,80.7,3419,1888,55.2
Bronx,10,Asian,2023-24,135424,8230,127194,93.9,830,132,15.9
Bronx,10,Black,2023-24,504691,71870,432821,85.8,3269,1309,40.0
Bronx,10,Hispanic,2023-24,1259807,195935,1063872,84.4,8046,3715,46.2
Bronx,10,Other,2023-24,53660,7256,46404,86.5,338,134,39.6
Bronx,10,White,2023-24,92942,9182,83760,90.1,586,155,26.5
Bronx,10,Female,2023-24,941351,133987,807364,85.8,6018,2536,42.1
Bronx,10,Male,2023-24,1103854,158255,945599,85.7,7040,2904,41.3
Bronx,10,Neither male nor female,2023-24,1319,231,1088,82.5,9,4,44.4
Bronx,10,Not Poverty,2023-24,250594,20032,230562,92.0,1608,356,22.1
Bronx,10,Poverty,2023-24,1795930,272441,1523489,84.8,11467,5094,44.4
Bronx,10,ELL,2023-24,413355,60465,352890,85.4,2715,1199,44.2
Bronx,10,Not ELL,2023-24,1633169,232008,1401161,85.8,10353,4245,41.0
Bronx,11,All Students,2018-19,1964561,261936,1702625,86.7,12228,4914,40.2
Bronx,11,Not SWD,2018-19,1557695,186796,1370899,88.0,9702,3536,36.4
Bronx,11,SWD,2018-19,406866,75140,331726,81.5,2526,1378,54.6
Bronx,11,Asian,2018-19,158163,8930,149233,94.4,964,167,17.3
Bronx,11,Black,2018-19,508875,65523,443352,87.1,3174,1184,37.3
Bronx,11,Hispanic,2018-19,1155582,173490,982092,85.0,7196,3300,45.9
Bronx,11,Other,2018-19,30533,4011,26522,86.9,201,85,42.3
Bronx,11,White,2018-19,111408,9982,101426,91.0,693,178,25.7
Bronx,11,Female,2018-19,947419,125317,822102,86.8,5890,2423,41.1
Bronx,11,Male,2018-19,1017142,136619,880523,86.6,6338,2491,39.3
Bronx,11,Not Poverty,2018-19,354030,33332,320698,90.6,2209,578,26.2
Bronx,11,Poverty,2018-19,1610531,228604,1381927,85.8,10019,4336,43.3
Bronx,11,ELL,2018-19,395383,61761,333622,84.4,2515,1172,46.6
Bronx,11,Not ELL,2018-19,1569178,200175,1369003,87.2,9713,3742,38.5
Bronx,11,All Students,2019-20,1276442,159873,1116569,87.5,11872,4531,38.2
Bronx,11,Not SWD,2019-20,1010168,115781,894387,88.5,9404,3274,34.8
Bronx,11,SWD,2019-20,266274,44092,222182,83.4,2468,1257,50.9
Bronx,11,Asian,2019-20,106309,6072,100237,94.3,980,157,16.0
Bronx,11,Black,2019-20,323707,38525,285182,88.1,3021,1067,35.3
Bronx,11,Hispanic,2019-20,757884,107051,650833,85.9,7049,3069,43.5
Bronx,11,Other,2019-20,21886,2555,19331,88.3,209,77,36.8
Bronx,11,White,2019-20,66656,5670,60986,91.5,613,161,26.3
Bronx,11,Female,2019-20,613763,77590,536173,87.4,5710,2211,38.7
Bronx,11,Male,2019-20,662679,82283,580396,87.6,6162,2320,37.7
Bronx,11,Not Poverty,2019-20,223587,17291,206296,92.3,2074,481,23.2
Bronx,11,Poverty,2019-20,1052855,142582,910273,86.5,9798,4050,41.3
Bronx,11,ELL,2019-20,238584,36910,201674,84.5,2249,1062,47.2
Bronx,11,Not ELL,2019-20,1037858,122963,914895,88.2,9623,3469,36.0
Bronx,11,All Students,2020-21,2026322,294397,1731925,85.5,11912,4605,38.7
Bronx,11,Not SWD,2020-21,1582375,209729,1372646,86.7,9305,3303,35.5
Bronx,11,SWD,2020-21,443947,84668,359279,80.9,2607,1302,49.9
Bronx,11,Asian,2020-21,161631,8795,152836,94.6,934,132,14.1
Bronx,11,Black,2020-21,507896,73419,434477,85.5,2989,1147,38.4
Bronx,11,Hispanic,2020-21,1212262,197527,1014735,83.7,7142,3113,43.6
Bronx,11,Other,2020-21,42576,5743,36833,86.5,254,83,32.7
Bronx,11,White,2020-21,101957,8913,93044,91.3,593,130,21.9
Bronx,11,Female,2020-21,967463,120055,847408,87.6,5684,1947,34.3
Bronx,11,Male,2020-21,1058859,174342,884517,83.5,6228,2658,42.7
Bronx,11,Not Poverty,2020-21,341471,27561,313910,91.9,2003,458,22.9
Bronx,11,Poverty,2020-21,1684851,266836,1418015,84.2,9909,4147,41.9
Bronx,11,ELL,2020-21,422277,77469,344808,81.7,2517,1186,47.1
Bronx,11,Not ELL,2020-21,1604045,216928,1387117,86.5,9395,3419,36.4
Bronx,11,All Students,2021-22,1903729,310392,1593337,83.7,11663,5788,49.6
Bronx,11,Not SWD,2021-22,1467165,218432,1248733,85.1,9013,4166,46.2
Bronx,11,SWD,2021-22,436564,91960,344604,78.9,2650,1622,61.2
Bronx,11,Asian,2021-22,150173,11112,139061,92.6,896,204,22.8
Bronx,11,Black,2021-22,467152,76735,390417,83.6,2883,1358,47.1
Bronx,11,Hispanic,2021-22,1148695,206910,941785,82.0,7043,3937,55.9
Bronx,11,Other,2021-22,38375,5553,32822,85.5,241,110,45.6
Bronx,11,White,2021-22,99334,10082,89252,89.9,600,179,29.8
Bronx,11,Female,2021-22,901376,148637,752739,83.5,5541,2813,50.8
Bronx,11,Male,2021-22,1002353,161755,840598,83.9,6122,2975,48.6
Bronx,11,Not Poverty,2021-22,334470,35198,299272,89.5,2052,661,32.2
Bronx,11,Poverty,2021-22,1569259,275194,1294065,82.5,9611,5127,53.3
Bronx,11,ELL,2021-22,357198,67165,290033,81.2,2230,1267,56.8
Bronx,11,Not ELL,2021-22,1546531,243227,1303304,84.3,9433,4521,47.9
Bronx,11,All Students,2022-23,1761719,246152,1515567,86.0,11140,4783,42.9
Bronx,11,Not SWD,2022-23,1345504,167621,1177883,87.5,8527,3323,39.0
Bronx,11,SWD,2022-23,416215,78531,337684,81.1,2613,1460,55.9
Bronx,11,Asian,2022-23,140066,9608,130458,93.1,866,172,19.9
Bronx,11,Black,2022-23,442791,60856,381935,86.3,2827,1165,41.2
Bronx,11,Hispanic,2022-23,1067444,164065,903379,84.6,6748,3217,47.7
Bronx,11,Other,2022-23,29704,3745,25959,87.4,187,73,39.0
Bronx,11,White,2022-23,81714,7878,73836,90.4,512,156,30.5
Bronx,11,Female,2022-23,845146,s,s,s,s,s,s
Bronx,11,Male,2022-23,916057,s,s,s,s,s,s
Bronx,11,Neither male nor female,2022-23,516,s,s,s,s,s,s
Bronx,11,Not Poverty,2022-23,267161,22528,244633,91.6,1698,425,25.0
Bronx,11,Poverty,2022-23,1494558,223624,1270934,85.0,9442,4358,46.2
Bronx,11,ELL,2022-23,309883,51013,258870,83.5,2021,1006,49.8
Bronx,11,Not ELL,2022-23,1451836,195139,1256697,86.6,9119,3777,41.4
Bronx,11,All Students,2023-24,1856415,238982,1617433,87.1,11671,4541,38.9
Bronx,11,Not SWD,2023-24,1429283,167033,1262250,88.3,9034,3193,35.3
Bronx,11,SWD,2023-24,427132,71949,355183,83.2,2639,1350,51.2
Bronx,11,Asian,2023-24,142202,10426,131776,92.7,873,173,19.8
Bronx,11,Black,2023-24,469172,57512,411660,87.7,2979,1103,37.0
Bronx,11,Hispanic,2023-24,1120947,159450,961497,85.8,7044,3061,43.5
Bronx,11,Other,2023-24,35558,4186,31372,88.2,223,74,33.2
Bronx,11,White,2023-24,88536,7408,81128,91.6,552,130,23.6
Bronx,11,Female,2023-24,877063,s,s,s,s,s,s
Bronx,11,Male,2023-24,978521,128518,850003,86.9,6139,2384,38.8
Bronx,11,Neither male nor female,2023-24,831,s,s,s,s,s,s
Bronx,11,Not Poverty,2023-24,242643,17766,224877,92.7,1556,328,21.1
Bronx,11,Poverty,2023-24,1613772,221216,1392556,86.3,10126,4218,41.7
Bronx,11,ELL,2023-24,326573,48967,277606,85.0,2141,953,44.5
Bronx,11,Not ELL,2023-24,1529842,190015,1339827,87.6,9530,3588,37.6
Bronx,12,All Students,2018-19,2062740,327600,1735140,84.1,12833,6477,50.5
Bronx,12,Not SWD,2018-19,1558586,232509,1326077,85.1,9747,4696,48.2
Bronx,12,SWD,2018-19,504154,95091,409063,81.1,3086,1781,57.7
Bronx,12,Asian,2018-19,162616,15481,147135,90.5,988,318,32.2
Bronx,12,Black,2018-19,546248,78540,467708,85.6,3407,1548,45.4
Bronx,12,Hispanic,2018-19,1215017,215485,999532,82.3,7583,4262,56.2
Bronx,12,Other,2018-19,37427,6036,31391,83.9,231,111,48.1
Bronx,12,White,2018-19,101432,12058,89374,88.1,624,238,38.1
Bronx,12,Female,2018-19,984000,158574,825426,83.9,6130,3211,52.4
Bronx,12,Male,2018-19,1078740,169026,909714,84.3,6703,3266,48.7
Bronx,12,Not Poverty,2018-19,379140,44989,334151,88.1,2348,893,38.0
Bronx,12,Poverty,2018-19,1683600,282611,1400989,83.2,10485,5584,53.3
Bronx,12,ELL,2018-19,300797,67642,233155,77.5,1878,1227,65.3
Bronx,12,Not ELL,2018-19,1761943,259958,1501985,85.2,10955,5250,47.9
Bronx,12,All Students,2019-20,1364315,202135,1162180,85.2,12591,5812,46.2
Bronx,12,Not SWD,2019-20,1025715,139758,885957,86.4,9502,4117,43.3
Bronx,12,SWD,2019-20,338600,62377,276223,81.6,3089,1695,54.9
Bronx,12,Asian,2019-20,106888,9184,97704,91.4,984,276,28.0
Bronx,12,Black,2019-20,361839,49330,312509,86.4,3333,1390,41.7
Bronx,12,Hispanic,2019-20,793800,130952,662848,83.5,7332,3801,51.8
Bronx,12,Other,2019-20,24229,3801,20428,84.3,227,102,44.9
Bronx,12,White,2019-20,77559,8868,68691,88.6,715,243,34.0
Bronx,12,Female,2019-20,647012,97697,549315,84.9,5974,2867,48.0
Bronx,12,Male,2019-20,717303,104438,612865,85.4,6617,2945,44.5
Bronx,12,Not Poverty,2019-20,234169,24084,210085,89.7,2160,668,30.9
Bronx,12,Poverty,2019-20,1130146,178051,952095,84.2,10431,5144,49.3
Bronx,12,ELL,2019-20,201417,42849,158568,78.7,1857,1147,61.8
Bronx,12,Not ELL,2019-20,1162898,159286,1003612,86.3,10734,4665,43.5
Bronx,12,All Students,2020-21,2119434,349714,1769720,83.5,12701,5577,43.9
Bronx,12,Not SWD,2020-21,1574508,238554,1335954,84.8,9438,3835,40.6
Bronx,12,SWD,2020-21,544926,111160,433766,79.6,3263,1742,53.4
Bronx,12,Asian,2020-21,168855,12791,156064,92.4,986,216,21.9
Bronx,12,Black,2020-21,559087,91227,467860,83.7,3348,1511,45.1
Bronx,12,Hispanic,2020-21,1245134,227129,1018005,81.8,7498,3561,47.5
Bronx,12,Other,2020-21,35068,5382,29686,84.7,215,84,39.1
Bronx,12,White,2020-21,111290,13185,98105,88.2,654,205,31.3
Bronx,12,Female,2020-21,991897,140104,851793,85.9,5950,2322,39.0
Bronx,12,Male,2020-21,1127537,209610,917927,81.4,6751,3255,48.2
Bronx,12,Not Poverty,2020-21,362535,42486,320049,88.3,2156,691,32.1
Bronx,12,Poverty,2020-21,1756899,307228,1449671,82.5,10545,4886,46.3
Bronx,12,ELL,2020-21,381839,85840,295999,77.5,2307,1252,54.3
Bronx,12,Not ELL,2020-21,1737595,263874,1473721,84.8,10394,4325,41.6
Bronx,12,All Students,2021-22,2002096,383182,1618914,80.9,12298,7283,59.2
Bronx,12,Not SWD,2021-22,1458203,257805,1200398,82.3,9010,5067,56.2
Bronx,12,SWD,2021-22,543893,125377,418516,76.9,3288,2216,67.4
Bronx,12,Asian,2021-22,159478,19881,139597,87.5,951,417,43.8
Bronx,12,Black,2021-22,528684,97231,431453,81.6,3252,1807,55.6
Bronx,12,Hispanic,2021-22,1172052,243629,928423,79.2,7242,4649,64.2
Bronx,12,Other,2021-22,41104,7659,33445,81.4,250,134,53.6
Bronx,12,White,2021-22,100778,14782,85996,85.3,603,276,45.8
Bronx,12,Female,2021-22,934986,176827,758159,81.1,5769,3483,60.4
Bronx,12,Male,2021-22,1067110,206355,860755,80.7,6529,3800,58.2
Bronx,12,Not Poverty,2021-22,349140,48524,300616,86.1,2128,958,45.0
Bronx,12,Poverty,2021-22,1652956,334658,1318298,79.8,10170,6325,62.2
Bronx,12,ELL,2021-22,399687,89617,310070,77.6,2457,1659,67.5
Bronx,12,Not ELL,2021-22,1602409,293565,1308844,81.7,9841,5624,57.1
Bronx,12,All Students,2022-23,1886903,298661,1588242,84.2,11865,5913,49.8
Bronx,12,Not SWD,2022-23,1367941,197489,1170452,85.6,8631,4006,46.4
Bronx,12,SWD,2022-23,518962,101172,417790,80.5,3234,1907,59.0
Bronx,12,Asian,2022-23,148692,14495,134197,90.3,907,283,31.2
Bronx,12,Black,2022-23,488343,72655,415688,85.1,3074,1412,45.9
Bronx,12,Hispanic,2022-23,1119917,195582,924335,82.5,7077,3908,55.2
Bronx,12,Other,2022-23,33189,4915,28274,85.2,212,99,46.7
Bronx,12,White,2022-23,96762,11014,85748,88.6,595,211,35.5
Bronx,12,Female,2022-23,871185,s,s,s,s,s,s
Bronx,12,Male,2022-23,1015451,156752,858699,84.6,6389,3047,47.7
Bronx,12,Neither male nor female,2022-23,267,s,s,s,s,s,s
Bronx,12,Not Poverty,2022-23,299548,30611,268937,89.8,1870,615,32.9
